diff_id,category_divergence,maintenance_entropy,maintenance_disagreement,mean_model_error_vs_gold,unanimous_categories,unanimous_maintenance
96abf7a1dec006ad47d4f1c0fcf8a7b9cbd7b226:AGENTS.md,0.0,-0.0,0.0,0.5,1,1
9a5e62730d45b6bdd8a4d328acd28f2133b53c8f:CLAUDE.md,0.3042,-0.0,0.0,0.3583,0,1
9d33d0b0fee03455a1611a2b788ad93c9e150eef:CLAUDE.md,0.6944,0.8113,0.25,0.5875,0,0
9d6adaa318053a8b49cc78252eafa8ebc08c68ba:CLAUDE.md,0.5008,-0.0,0.0,0.5,0,1
9fab4812af83d23326abfbac24551e8f324894eb:CLAUDE.md,0.3423,-0.0,0.0,0.5777,0,1
a167fa4d7e898163d031ec4c97fca46b533f821e:CLAUDE.md,0.3333,-0.0,0.0,0.25,0,1
a1782a00563c840f68e983c7b67841ff2d48a5e4:CLAUDE.md,0.4405,-0.0,0.0,0.5139,0,1
a1c705ddfc95160785fe224e28bb038f0d2594ad:AGENTS.md,0.6139,0.8113,0.25,0.4958,0,0
a30b030a0cc7f5d1e07aaff6c167a55725566942:AGENTS.md,0.3333,-0.0,0.0,0.7125,0,1
a3baad9197fa478b8539c37fb3cfd03de3fe2d49:CLAUDE.md,0.356,-0.0,0.0,0.3798,0,1
a442bdd656c090834e350686a0913cc33da50e4f:AGENTS.md,0.5694,1.0,0.5,0.4167,0,0
ad08e1438060ed3f9ea32c5edce0edc7afafeaf5:CLAUDE.md,0.6667,0.8113,0.25,0.5,0,0
ae247ee2e08de752af885702bdb8e76041250a16:CLAUDE.md,0.0,0.8113,0.25,0.6667,1,0
aeb7866da270f1113590c0cd00313ad56ff667b4:CLAUDE.md,0.5111,-0.0,0.0,0.8914,0,1
af4bf105a9328549e04bd7783d47a36a2b171ff8:CLAUDE.md,0.3095,-0.0,0.0,0.3542,0,1
b1b5e5079942a9820f27ed4d3be35db9adb4524e:CLAUDE.md,0.4611,-0.0,0.0,0.4375,0,1
b45755a89e69a94c7b611968d83bf908fa1234d8:CLAUDE.md,0.6667,1.0,0.5,0.75,0,0
b475375a4ae0b7c0ab5011e1dcc6438b2f9d567c:CLAUDE.md,0.5616,-0.0,0.0,0.523,0,1
b5c3d4fbfa30cf905878e6ae6e64048fe71e5765:CLAUDE.md,0.5,-0.0,0.0,0.7083,0,1
b8c1207d2d5358f628087ee30c62c3940fc27f56:CLAUDE.md,0.1,-0.0,0.0,0.3571,0,1
bc3074349f00581dcf47c1a11a67f1b5582fdd73:CLAUDE.md,0.1574,-0.0,0.0,0.5389,0,1
bdb122b7cb5fae26ebb8fb1b8448d943030e0acc:CLAUDE.md,0.5,-0.0,0.0,0.375,0,1
bdeed0bfe5c254c19856cdfaade5dc1d45ccd30f:CLAUDE.md,0.3178,-0.0,0.0,0.4504,0,1
c1b3b8d5b7dcc2ea6a5e7cd959ceb93776a2baf8:CLAUDE.md,0.5694,0.8113,0.25,0.5625,0,0
c1f6b0663f480c7535cf3316409738e76fb0afa0:CLAUDE.md,0.2341,1.5,0.5,0.2612,0,0
c200ab20d0788e43237bdfc1e84a542c6021d7ad:CLAUDE.md,0.625,1.0,0.5,0.625,0,0
c2976485ba5210b546394d7b905c60dd55ed58a8:AGENTS.md,0.0,-0.0,0.0,0.0,1,1
c3e35416f49b7ca1f613dc9178cecd7e9cd00529:CLAUDE.md,0.6667,-0.0,0.0,0.375,0,1
c6ec0bc33172422fd5757c8e680d8a42fa25c504:CLAUDE.md,0.4727,-0.0,0.0,0.5014,0,1
ca7e58be86e584f5ca147ede853dde203c5a91ca:CLAUDE.md,0.7077,-0.0,0.0,0.6702,0,1
cc17c6a9037270b291551a7257ac958eab2ef147:CLAUDE.md,0.25,0.8113,0.25,0.75,0,0
cd3b4e710cac999316ee9196892b0e7c2c6437cb:CLAUDE.md,0.2222,0.8113,0.25,1.0,0,0
ce827f2edea13a109c191cb172f944cc4155588d:CLAUDE.md,0.4444,-0.0,0.0,0.5625,0,1
d437b83939e53850c78a903950741d0cc47fd7dd:CLAUDE.md,0.25,-0.0,0.0,0.5417,0,1
d63ab1822dfa36e92063237012ad80b98b22105f:CLAUDE.md,0.623,-0.0,0.0,0.7848,0,1
d6dee12adabfd2d493312099a984e193ebbd00f0:CLAUDE.md,0.3333,-0.0,0.0,0.25,0,1
d8330a952fc05aa5f3865643ff97f4b7802518b5:CLAUDE.md,0.25,0.8113,0.25,1.0,0,0
db75872ace46bb77b6c2c2e74b042ed43a7069b2:CLAUDE.md,0.25,1.0,0.5,0.375,0,0
dbfe1d898504f8eac0d05d52ef9c4e3c6115aac3:CLAUDE.md,0.375,0.8113,0.25,1.0,0,0
dd541362c4f5c9936a6106bab8275a76355d6a00:CLAUDE.md,0.2222,-0.0,0.0,0.1667,0,1
e41da5c49b17d3484e30bd1b3d89fc7a16f26e01:CLAUDE.md,0.5722,-0.0,0.0,0.3917,0,1
e47ab13b8efe9ded56a7873ea43c7c31577d9122:CLAUDE.md,0.5222,1.5,0.5,0.4833,0,0
e619a3e6113fbe6947f7e992cb0960cbbfac340b:CLAUDE.md,0.25,-0.0,0.0,0.125,0,1
e8c71dce3b8d4137bece1adeed9379ad2b91d6eb:CLAUDE.md,0.3857,-0.0,0.0,0.4136,0,1
eb09ec9ccf4fb97d5082e72136ef4f7233d5d463:AGENTS.md,0.3333,-0.0,0.0,0.1667,0,1
eb1426ecea58b13069d5532a940e3d683122e7b3:AGENTS.md,0.0,-0.0,0.0,0.0,1,1
eb28b04766597fad680aa483ca44bcc5d9cb6c85:AGENTS.md,0.25,-0.0,0.0,0.125,0,1
eb6345f69d4ca565f7381cd111deee03479511aa:CLAUDE.md,0.3915,-0.0,0.0,0.4326,0,1
ec6c598701f70a71aa965d16011025bd3764bc63:CLAUDE.md,0.375,0.8113,0.25,0.4125,0,0
ee12fa57bdee23725afdde65372682c6d81d3931:CLAUDE.md,0.7083,-0.0,0.0,0.75,0,1
ef9117e64f7e77e14ce9fca63764d2504c0f30f2:AGENTS.md,0.5694,-0.0,0.0,0.3958,0,1
f015d9c0a165d42bb0c599c140289a50df4ff2d0:CLAUDE.md,0.3889,-0.0,0.0,0.4167,0,1
f0a1a460fcb184e05db10e15d09d7a6637376745:CLAUDE.md,0.4841,0.8113,0.25,0.5625,0,0
f1e3eb5fe2436b777a554643a5dd110deed731be:CLAUDE.md,0.3598,0.8113,0.25,0.2964,0,0
f4929277d4057ba53abf9feee367b30c49ce5532:AGENTS.md,0.5139,-0.0,0.0,0.6042,0,1
f783ddb581d62b338a4f2c6bfa752b920af754a8:CLAUDE.md,0.0,1.0,0.5,0.0,1,0
f7b80bbcb1090d4522431d71dabb16ea6f14ba2e:CLAUDE.md,0.6944,-0.0,0.0,0.75,0,1
fba230ecb5e0bea29b56444ac5259426b8629d15:CLAUDE.md,0.5982,-0.0,0.0,0.5223,0,1
fba564f14df7abca86f2f906e2ee94085ed5be0b:CLAUDE.md,0.5444,-0.0,0.0,0.5357,0,1
fd0874c68b94cf16335fece0b4c55d1f01ff3852:CLAUDE.md,0.4952,-0.0,0.0,0.6167,0,1
fdd1f0532f20a5786151ac0385fd3d046b60f3c5:CLAUDE.md,0.3,1.0,0.5,0.4167,0,0
fe2a8a6091b4662faa436341fde3c5132015085d:CLAUDE.md,0.3333,-0.0,0.0,0.5625,0,1
fe5e7f70edfdd2c8c7f5f2703dce3914e079892e:CLAUDE.md,0.1667,-0.0,0.0,0.3,0,1
